Week,Age_group,positive_1_6_days_after_1st_dose,positive_7_13_days_after_1st_dose,positive_14_20_days_after_1st_dose,positive_above_20_days_after_1st_dose,positive_1_6_days_after_2nd_dose,positive_7_13_days_after_2nd_dose,positive_14_30_days_after_2nd_dose,positive_31_90_days_after_2nd_dose,positive_above_3_month_after_2nd_before_3rd_dose,positive_1_6_days_after_3rd_dose,positive_7_13_days_after_3rd_dose,positive_14_30_days_after_3rd_dose,positive_31_90_days_after_3rd_dose,positive_above_90_days_after_3rd_dose,Sum_positive_without_vaccination
2021-07-04 - 2021-07-10,20-29,,,,<5,,,<5,9.0,207.0,,,,,,61
2021-07-04 - 2021-07-10,30-39,,,,<5,,,,<5,246.0,,,,,,82
2021-07-04 - 2021-07-10,40-49,<5,<5,,<5,,,,5.0,351.0,,,,,,53
2021-07-04 - 2021-07-10,50-59,,<5,,<5,,,,<5,237.0,,,,,,25
2021-07-04 - 2021-07-10,60-69,,<5,<5,<5,,,,<5,225.0,,,,,,12
2021-07-04 - 2021-07-10,70-79,<5,,,<5,,,,,142.0,,,,,,12
2021-07-04 - 2021-07-10,80-89,,,<5,<5,,,,<5,43.0,,,,,,5
2021-07-04 - 2021-07-10,90+,,,,<5,,,,,8.0,,,,,,<5
2021-07-11 - 2021-07-17,0-19,22.0,81.0,44.0,10.0,<5,<5,,7.0,159.0,,,,,,1757
2021-07-11 - 2021-07-17,20-29,<5,<5,<5,12.0,,,,12.0,432.0,,,,,,126
2021-07-11 - 2021-07-17,30-39,<5,<5,<5,8.0,,,,9.0,476.0,,,,,,126
2021-07-11 - 2021-07-17,40-49,,,<5,11.0,,,,6.0,556.0,,,,,,109
2021-07-11 - 2021-07-17,50-59,<5,<5,,<5,,,<5,<5,364.0,,,,,,51
2021-07-11 - 2021-07-17,60-69,,,,<5,,,,<5,362.0,,,,,,31
2021-07-11 - 2021-07-17,70-79,,,,,,,,<5,235.0,,,,,,13
2021-07-11 - 2021-07-17,80-89,,,,,,,,,69.0,,,,,,8
2021-07-11 - 2021-07-17,90+,,,,,,,,,14.0,,,,,,<5
2021-07-18 - 2021-07-24,0-19,7.0,53.0,65.0,25.0,29.0,8.0,,9.0,272.0,,,,,,3027
2021-07-18 - 2021-07-24,20-29,<5,,,14.0,<5,,,25.0,736.0,,,,,,194
2021-07-18 - 2021-07-24,30-39,,<5,<5,22.0,,,<5,9.0,892.0,,,,,,243
2021-07-18 - 2021-07-24,40-49,,,<5,12.0,,,<5,12.0,912.0,,,,,,165
2021-07-18 - 2021-07-24,50-59,,,,6.0,,,,5.0,579.0,,,,,,101
2021-07-18 - 2021-07-24,60-69,<5,,<5,<5,,,,<5,586.0,,,,,,46
2021-07-18 - 2021-07-24,70-79,,<5,,<5,,,,<5,348.0,,,,,,18
2021-07-18 - 2021-07-24,80-89,,,,,,,<5,,147.0,,,,,,13
2021-07-18 - 2021-07-24,90+,,,,<5,,,,,33.0,,,,,,9
2021-07-25 - 2021-07-31,0-19,21.0,18.0,24.0,90.0,36.0,25.0,10.0,15.0,532.0,,,,,,4886
2021-07-25 - 2021-07-31,20-29,<5,<5,,33.0,,<5,,24.0,1254.0,,,,,,417
2021-07-25 - 2021-07-31,30-39,<5,,5.0,30.0,<5,<5,<5,21.0,1531.0,,,,,,431
2021-07-25 - 2021-07-31,40-49,,<5,,21.0,<5,<5,,10.0,1472.0,,,,,,294
2021-07-25 - 2021-07-31,50-59,<5,,,12.0,,<5,<5,8.0,1016.0,,,,,,170
2021-07-25 - 2021-07-31,60-69,,,,7.0,,,,7.0,1021.0,,,,,,91
2021-07-25 - 2021-07-31,70-79,,<5,,7.0,,,,<5,656.0,,,,,,54
2021-07-25 - 2021-07-31,80-89,,,,5.0,,,,<5,281.0,,,,,,33
2021-07-25 - 2021-07-31,90+,,,<5,<5,,,,<5,83.0,,,,,,7
2021-08-01 - 2021-08-07,0-19,39.0,51.0,21.0,88.0,40.0,38.0,22.0,21.0,748.0,,,,,,8039
2021-08-01 - 2021-08-07,20-29,<5,5.0,<5,56.0,<5,<5,<5,25.0,2156.0,,,,,,749
2021-08-01 - 2021-08-07,30-39,,6.0,,40.0,<5,<5,<5,30.0,2314.0,,,,,,654
2021-08-01 - 2021-08-07,40-49,,<5,<5,25.0,,,<5,15.0,2439.0,<5,,,,,486
2021-08-01 - 2021-08-07,50-59,,5.0,<5,18.0,,<5,,9.0,1675.0,<5,,,,,296
2021-08-01 - 2021-08-07,60-69,,<5,,10.0,,<5,,<5,1335.0,93.0,<5,,,,174
2021-08-01 - 2021-08-07,70-79,<5,<5,,10.0,<5,<5,<5,<5,843.0,79.0,,,,,85
2021-08-01 - 2021-08-07,80-89,,,,<5,,<5,,<5,402.0,51.0,,,,,49
2021-08-01 - 2021-08-07,90+,,<5,,<5,,,,,106.0,8.0,,,,,21
2021-08-08 - 2021-08-14,0-19,53.0,96.0,56.0,97.0,15.0,26.0,75.0,50.0,1209.0,,,,,,12426
2021-08-08 - 2021-08-14,20-29,<5,<5,5.0,126.0,,<5,<5,36.0,3745.0,,,,,,1317
2021-08-08 - 2021-08-14,30-39,9.0,<5,<5,88.0,,<5,<5,38.0,4066.0,<5,,,,,1201
2021-08-08 - 2021-08-14,40-49,<5,<5,<5,66.0,,<5,<5,19.0,3913.0,<5,,,,,795
2021-08-08 - 2021-08-14,50-59,<5,<5,<5,34.0,,<5,<5,12.0,2899.0,9.0,<5,,,,476
2021-08-08 - 2021-08-14,60-69,,,,19.0,,,,<5,1573.0,401.0,246.0,,,,294
2021-08-08 - 2021-08-14,70-79,<5,<5,<5,6.0,,,,<5,932.0,273.0,200.0,<5,,,124
2021-08-08 - 2021-08-14,80-89,<5,,,6.0,<5,<5,<5,11.0,387.0,112.0,86.0,,,,82
2021-08-08 - 2021-08-14,90+,,,<5,<5,<5,,<5,<5,72.0,27.0,27.0,,,,36
2021-08-15 - 2021-08-21,0-19,121.0,186.0,58.0,133.0,25.0,12.0,111.0,96.0,1499.0,,,,,,18378
2021-08-15 - 2021-08-21,20-29,11.0,16.0,<5,174.0,7.0,<5,6.0,35.0,5431.0,,,,,,1921
2021-08-15 - 2021-08-21,30-39,8.0,13.0,8.0,123.0,6.0,6.0,6.0,47.0,5693.0,21.0,<5,,,,1667
2021-08-15 - 2021-08-21,40-49,6.0,<5,<5,74.0,5.0,<5,<5,19.0,5089.0,61.0,8.0,<5,,,1054
2021-08-15 - 2021-08-21,50-59,<5,<5,<5,50.0,8.0,,<5,9.0,2962.0,480.0,37.0,<5,,,616
2021-08-15 - 2021-08-21,60-69,<5,5.0,,19.0,<5,,,8.0,1294.0,309.0,402.0,75.0,,,378
2021-08-15 - 2021-08-21,70-79,<5,<5,<5,6.0,,<5,,<5,559.0,192.0,294.0,50.0,,,239
2021-08-15 - 2021-08-21,80-89,,<5,<5,6.0,<5,<5,<5,<5,292.0,65.0,150.0,22.0,,,111
2021-08-15 - 2021-08-21,90+,<5,<5,,<5,,<5,,<5,73.0,21.0,28.0,9.0,,,42
2021-08-22 - 2021-08-28,0-19,212.0,305.0,121.0,167.0,40.0,20.0,78.0,207.0,2119.0,,,,,,23287
2021-08-22 - 2021-08-28,20-29,31.0,27.0,7.0,205.0,6.0,<5,16.0,43.0,7109.0,,,,,,2412
2021-08-22 - 2021-08-28,30-39,13.0,32.0,8.0,176.0,<5,6.0,8.0,43.0,6574.0,194.0,21.0,<5,,,2134
2021-08-22 - 2021-08-28,40-49,6.0,9.0,<5,103.0,<5,<5,<5,10.0,4929.0,687.0,123.0,<5,,,1386
2021-08-22 - 2021-08-28,50-59,8.0,6.0,<5,51.0,8.0,<5,<5,6.0,2311.0,526.0,596.0,15.0,,,735
2021-08-22 - 2021-08-28,60-69,6.0,<5,<5,31.0,<5,,<5,<5,1033.0,157.0,261.0,157.0,,,432
2021-08-22 - 2021-08-28,70-79,,<5,<5,11.0,,,<5,<5,398.0,58.0,161.0,142.0,,,215
2021-08-22 - 2021-08-28,80-89,<5,<5,5.0,<5,,<5,<5,<5,191.0,25.0,84.0,76.0,,,108
2021-08-22 - 2021-08-28,90+,,,<5,<5,,,<5,<5,50.0,<5,15.0,30.0,,,29
2021-08-29 - 2021-09-04,0-19,275.0,591.0,224.0,207.0,59.0,26.0,33.0,461.0,2527.0,114.0,,,,,28455
2021-08-29 - 2021-09-04,20-29,25.0,40.0,18.0,234.0,6.0,<5,<5,27.0,6763.0,345.0,,,,,2645
2021-08-29 - 2021-09-04,30-39,15.0,50.0,10.0,158.0,7.0,7.0,9.0,41.0,5814.0,710.0,293.0,13.0,,,2383
2021-08-29 - 2021-09-04,40-49,14.0,19.0,6.0,112.0,<5,<5,<5,16.0,3909.0,622.0,632.0,39.0,,,1561
2021-08-29 - 2021-09-04,50-59,6.0,9.0,<5,58.0,,<5,<5,5.0,1694.0,191.0,335.0,152.0,,,763
2021-08-29 - 2021-09-04,60-69,7.0,10.0,6.0,25.0,,<5,<5,10.0,717.0,77.0,125.0,207.0,15.0,,456
2021-08-29 - 2021-09-04,70-79,<5,<5,5.0,13.0,<5,,,<5,307.0,17.0,56.0,163.0,10.0,,186
2021-08-29 - 2021-09-04,80-89,<5,<5,,9.0,,<5,,<5,143.0,12.0,57.0,91.0,<5,,96
2021-08-29 - 2021-09-04,90+,,<5,,7.0,,<5,<5,<5,30.0,<5,11.0,19.0,,,31
2021-09-05 - 2021-09-11,0-19,130.0,440.0,236.0,213.0,38.0,35.0,36.0,410.0,1645.0,229.0,99.0,,,,26464
2021-09-05 - 2021-09-11,20-29,14.0,34.0,11.0,170.0,5.0,<5,<5,30.0,4336.0,515.0,345.0,,,,2360
2021-09-05 - 2021-09-11,30-39,11.0,24.0,20.0,157.0,<5,11.0,11.0,36.0,4312.0,343.0,394.0,95.0,<5,,2238
2021-09-05 - 2021-09-11,40-49,12.0,21.0,10.0,84.0,<5,<5,<5,18.0,2639.0,217.0,314.0,165.0,<5,,1567
2021-09-05 - 2021-09-11,50-59,7.0,12.0,6.0,49.0,,<5,<5,5.0,1097.0,82.0,97.0,177.0,<5,,743
2021-09-05 - 2021-09-11,60-69,<5,<5,<5,25.0,,<5,<5,5.0,459.0,31.0,54.0,104.0,89.0,,387
2021-09-05 - 2021-09-11,70-79,<5,<5,<5,5.0,<5,<5,<5,<5,197.0,7.0,19.0,59.0,66.0,,170
2021-09-05 - 2021-09-11,80-89,,,<5,8.0,,<5,<5,<5,97.0,11.0,9.0,41.0,31.0,,106
2021-09-05 - 2021-09-11,90+,<5,<5,,<5,,<5,<5,,22.0,<5,5.0,8.0,7.0,,35
2021-09-12 - 2021-09-18,0-19,89.0,242.0,232.0,301.0,64.0,31.0,34.0,372.0,1200.0,80.0,79.0,12.0,,,27604
2021-09-12 - 2021-09-18,20-29,8.0,26.0,17.0,182.0,<5,6.0,<5,16.0,3781.0,213.0,187.0,47.0,,,2403
2021-09-12 - 2021-09-18,30-39,10.0,30.0,20.0,178.0,9.0,<5,11.0,33.0,4344.0,178.0,174.0,265.0,11.0,,2372
2021-09-12 - 2021-09-18,40-49,7.0,15.0,14.0,137.0,<5,,<5,27.0,2592.0,115.0,126.0,319.0,8.0,,1639
2021-09-12 - 2021-09-18,50-59,<5,5.0,8.0,65.0,<5,,<5,5.0,1012.0,43.0,49.0,186.0,50.0,,795
2021-09-12 - 2021-09-18,60-69,<5,<5,5.0,26.0,,,<5,5.0,491.0,6.0,18.0,55.0,173.0,,426
2021-09-12 - 2021-09-18,70-79,,,<5,12.0,,<5,,5.0,215.0,11.0,9.0,22.0,95.0,,191
2021-09-12 - 2021-09-18,80-89,,<5,,<5,<5,,,<5,86.0,<5,<5,16.0,52.0,,118
2021-09-12 - 2021-09-18,90+,,<5,,<5,,,,<5,20.0,<5,<5,5.0,13.0,,46
2021-09-19 - 2021-09-25,0-19,58.0,185.0,137.0,288.0,47.0,37.0,32.0,272.0,824.0,28.0,34.0,19.0,,,20342
2021-09-19 - 2021-09-25,20-29,7.0,17.0,6.0,172.0,7.0,6.0,5.0,18.0,2520.0,104.0,102.0,75.0,,,1751
2021-09-19 - 2021-09-25,30-39,6.0,15.0,15.0,172.0,6.0,<5,<5,30.0,3136.0,80.0,97.0,271.0,25.0,,1876
2021-09-19 - 2021-09-25,40-49,<5,15.0,10.0,73.0,<5,,9.0,11.0,1918.0,58.0,84.0,232.0,82.0,,1260
2021-09-19 - 2021-09-25,50-59,<5,<5,<5,41.0,,<5,,10.0,813.0,32.0,27.0,56.0,128.0,,666
2021-09-19 - 2021-09-25,60-69,,<5,<5,26.0,<5,,,<5,449.0,19.0,13.0,15.0,162.0,,358
2021-09-19 - 2021-09-25,70-79,,,<5,5.0,,,,<5,159.0,<5,12.0,12.0,111.0,,186
2021-09-19 - 2021-09-25,80-89,,,,<5,,,<5,<5,62.0,<5,<5,6.0,53.0,,88
2021-09-19 - 2021-09-25,90+,,,,,,,<5,<5,13.0,,<5,<5,24.0,,29
2021-09-26 - 2021-10-02,0-19,62.0,67.0,48.0,192.0,29.0,20.0,25.0,174.0,570.0,17.0,7.0,20.0,,,12209
2021-09-26 - 2021-10-02,20-29,8.0,6.0,7.0,106.0,7.0,,<5,21.0,1665.0,60.0,29.0,56.0,10.0,,1138
2021-09-26 - 2021-10-02,30-39,<5,<5,7.0,98.0,5.0,<5,<5,19.0,1776.0,76.0,31.0,114.0,97.0,,1221
2021-09-26 - 2021-10-02,40-49,<5,<5,5.0,71.0,5.0,<5,,8.0,1189.0,44.0,24.0,86.0,160.0,,832
2021-09-26 - 2021-10-02,50-59,<5,,<5,33.0,<5,<5,<5,8.0,467.0,29.0,11.0,15.0,148.0,,455
2021-09-26 - 2021-10-02,60-69,,,,13.0,,<5,<5,<5,260.0,7.0,5.0,8.0,124.0,,232
2021-09-26 - 2021-10-02,70-79,,<5,<5,5.0,,<5,,,106.0,<5,6.0,<5,86.0,,120
2021-09-26 - 2021-10-02,80-89,,,,<5,,,,<5,51.0,<5,<5,<5,50.0,,72
2021-09-26 - 2021-10-02,90+,,,,<5,,,,<5,9.0,,,,15.0,,16
2021-10-03 - 2021-10-09,0-19,31.0,50.0,22.0,104.0,10.0,16.0,16.0,124.0,365.0,22.0,10.0,7.0,11.0,,8002
2021-10-03 - 2021-10-09,20-29,<5,7.0,8.0,78.0,<5,<5,,8.0,943.0,81.0,30.0,25.0,29.0,,917
2021-10-03 - 2021-10-09,30-39,8.0,<5,<5,73.0,6.0,<5,<5,10.0,908.0,87.0,34.0,31.0,97.0,,869
2021-10-03 - 2021-10-09,40-49,<5,<5,<5,39.0,<5,<5,<5,5.0,596.0,61.0,24.0,17.0,130.0,,539
2021-10-03 - 2021-10-09,50-59,<5,<5,<5,20.0,,<5,,<5,306.0,32.0,14.0,8.0,86.0,,314
2021-10-03 - 2021-10-09,60-69,,,<5,9.0,,,,<5,152.0,12.0,5.0,<5,90.0,,167
2021-10-03 - 2021-10-09,70-79,,<5,,<5,,,,<5,63.0,6.0,<5,,63.0,,82
2021-10-03 - 2021-10-09,80-89,,,,<5,<5,,,,18.0,,,,39.0,,46
2021-10-03 - 2021-10-09,90+,<5,,,,,,<5,,5.0,,,,8.0,,9
2021-10-10 - 2021-10-16,0-19,11.0,33.0,16.0,66.0,<5,5.0,9.0,88.0,179.0,9.0,7.0,<5,8.0,,6301
2021-10-10 - 2021-10-16,20-29,<5,8.0,<5,46.0,<5,<5,<5,8.0,439.0,28.0,30.0,12.0,43.0,,481
2021-10-10 - 2021-10-16,30-39,<5,9.0,<5,44.0,<5,<5,<5,<5,495.0,22.0,42.0,20.0,110.0,,514
2021-10-10 - 2021-10-16,40-49,<5,<5,<5,28.0,<5,,<5,7.0,320.0,19.0,27.0,17.0,137.0,,360
2021-10-10 - 2021-10-16,50-59,,<5,,12.0,,,,<5,162.0,9.0,11.0,<5,77.0,,177
2021-10-10 - 2021-10-16,60-69,,<5,,<5,<5,,,,94.0,8.0,7.0,<5,61.0,,118
2021-10-10 - 2021-10-16,70-79,,,,<5,,,<5,,33.0,<5,,<5,32.0,,57
2021-10-10 - 2021-10-16,80-89,,,,<5,,,,,11.0,<5,,<5,20.0,,32
2021-10-10 - 2021-10-16,90+,,,,,,,,,5.0,,,,<5,,8
2021-10-17 - 2021-10-23,0-19,5.0,13.0,8.0,38.0,<5,<5,7.0,44.0,124.0,<5,6.0,<5,6.0,,4209
2021-10-17 - 2021-10-23,20-29,<5,<5,5.0,19.0,<5,,<5,7.0,253.0,5.0,7.0,11.0,28.0,,312
2021-10-17 - 2021-10-23,30-39,<5,<5,<5,31.0,,<5,<5,10.0,336.0,14.0,9.0,21.0,98.0,,341
2021-10-17 - 2021-10-23,40-49,<5,<5,,12.0,,<5,<5,<5,203.0,10.0,5.0,13.0,121.0,,234
2021-10-17 - 2021-10-23,50-59,<5,<5,,9.0,,,,,79.0,<5,<5,<5,58.0,,99
2021-10-17 - 2021-10-23,60-69,,,,<5,,,,,53.0,<5,,<5,46.0,,60
2021-10-17 - 2021-10-23,70-79,,,,<5,,,,,20.0,,,<5,38.0,,36
2021-10-17 - 2021-10-23,80-89,,,,<5,,,,,9.0,,<5,,18.0,,14
2021-10-17 - 2021-10-23,90+,,,,,,,,,<5,,<5,,,,7
2021-10-24 - 2021-10-30,0-19,<5,<5,<5,32.0,<5,<5,<5,23.0,88.0,<5,<5,<5,6.0,,2612
2021-10-24 - 2021-10-30,20-29,<5,,5.0,16.0,,,,<5,137.0,<5,<5,9.0,27.0,,223
2021-10-24 - 2021-10-30,30-39,,<5,<5,15.0,,<5,<5,<5,202.0,6.0,<5,10.0,72.0,,239
2021-10-24 - 2021-10-30,40-49,,,<5,12.0,,,,5.0,138.0,<5,<5,7.0,70.0,,200
2021-10-24 - 2021-10-30,50-59,,,,<5,,,,<5,57.0,<5,<5,<5,37.0,,84
2021-10-24 - 2021-10-30,60-69,,,,<5,,,,<5,36.0,<5,,,33.0,,49
2021-10-24 - 2021-10-30,70-79,,,,,,,,,15.0,,,,25.0,,25
2021-10-24 - 2021-10-30,80-89,,,,,,,<5,,5.0,<5,,,8.0,,11
2021-10-24 - 2021-10-30,90+,,,,,,,,,<5,<5,,,<5,,<5
2021-10-31 - 2021-11-06,0-19,<5,<5,<5,19.0,<5,<5,,23.0,55.0,<5,,,<5,,1969
2021-10-31 - 2021-11-06,20-29,,<5,,19.0,,,<5,<5,105.0,<5,<5,5.0,31.0,,222
2021-10-31 - 2021-11-06,30-39,<5,<5,,20.0,<5,,<5,<5,137.0,7.0,7.0,8.0,61.0,,239
2021-10-31 - 2021-11-06,40-49,<5,<5,<5,13.0,,,<5,6.0,104.0,5.0,<5,12.0,58.0,,175
2021-10-31 - 2021-11-06,50-59,,,<5,<5,<5,<5,,<5,35.0,,,<5,25.0,,98
2021-10-31 - 2021-11-06,60-69,,,,5.0,,,,,24.0,<5,,,20.0,5.0,42
2021-10-31 - 2021-11-06,70-79,,,,,,,,<5,15.0,,,,17.0,6.0,25
2021-10-31 - 2021-11-06,80-89,,,<5,<5,,,,,5.0,,,<5,10.0,,9
2021-10-31 - 2021-11-06,90+,,,,,,,,,<5,,,,<5,,<5
2021-11-07 - 2021-11-13,0-19,<5,<5,<5,19.0,,<5,<5,10.0,40.0,,,<5,5.0,,1832
2021-11-07 - 2021-11-13,20-29,<5,<5,<5,15.0,,,<5,<5,90.0,,,<5,17.0,,139
2021-11-07 - 2021-11-13,30-39,,<5,,6.0,,,,10.0,128.0,<5,<5,5.0,61.0,,145
2021-11-07 - 2021-11-13,40-49,,<5,<5,<5,<5,<5,,<5,75.0,<5,<5,<5,50.0,,120
2021-11-07 - 2021-11-13,50-59,,,,<5,,,,<5,19.0,<5,,<5,31.0,,46
2021-11-07 - 2021-11-13,60-69,,,,<5,,,,,20.0,,<5,,15.0,28.0,33
2021-11-07 - 2021-11-13,70-79,,,,,,,,,5.0,,,<5,8.0,17.0,19
2021-11-07 - 2021-11-13,80-89,,,,<5,,,,,5.0,<5,<5,,<5,7.0,7
2021-11-07 - 2021-11-13,90+,,,,<5,,,,,,,,,,,0
2021-11-14 - 2021-11-20,0-19,<5,<5,<5,13.0,<5,<5,<5,13.0,43.0,,,<5,5.0,,1863
2021-11-14 - 2021-11-20,20-29,,,,9.0,,,,<5,84.0,,<5,<5,25.0,,155
2021-11-14 - 2021-11-20,30-39,,<5,<5,11.0,,,,<5,114.0,<5,<5,<5,71.0,<5,142
2021-11-14 - 2021-11-20,40-49,,,,10.0,,,,<5,84.0,<5,<5,<5,79.0,<5,99
2021-11-14 - 2021-11-20,50-59,,,,<5,,,,,35.0,,<5,,15.0,12.0,57
2021-11-14 - 2021-11-20,60-69,,,,<5,<5,,,,18.0,,,,7.0,23.0,36
2021-11-14 - 2021-11-20,70-79,,,,<5,,,,<5,12.0,,,,<5,23.0,15
2021-11-14 - 2021-11-20,80-89,,,,,,,,,,,,,,5.0,11
2021-11-14 - 2021-11-20,90+,,,,,,,,,,,,,,<5,<5
2021-11-21 - 2021-11-27,0-19,5.0,<5,<5,18.0,<5,<5,<5,14.0,49.0,,,,6.0,,2179
2021-11-21 - 2021-11-27,20-29,,,,8.0,,,<5,<5,75.0,<5,<5,,32.0,,136
2021-11-21 - 2021-11-27,30-39,<5,,,12.0,,,<5,<5,137.0,<5,<5,<5,76.0,17.0,131
2021-11-21 - 2021-11-27,40-49,,,,<5,,,,<5,94.0,<5,<5,,62.0,48.0,108
2021-11-21 - 2021-11-27,50-59,,,,<5,,,,<5,23.0,,,,21.0,40.0,57
2021-11-21 - 2021-11-27,60-69,,,,<5,,,,,22.0,,,,5.0,22.0,38
2021-11-21 - 2021-11-27,70-79,,,,<5,,,,,6.0,,,,<5,13.0,13
2021-11-21 - 2021-11-27,80-89,,,,,,,,,7.0,,,,<5,11.0,7
2021-11-21 - 2021-11-27,90+,,,,,,,,,<5,,,,,,<5
2021-11-28 - 2021-12-04,0-19,73.0,24.0,<5,16.0,,<5,,19.0,92.0,<5,,<5,7.0,<5,2089
2021-11-28 - 2021-12-04,20-29,,,,12.0,,,,,94.0,<5,<5,<5,47.0,12.0,107
2021-11-28 - 2021-12-04,30-39,,,<5,13.0,,,,<5,127.0,<5,<5,<5,61.0,64.0,130
2021-11-28 - 2021-12-04,40-49,,<5,,7.0,,,,<5,83.0,<5,,<5,51.0,78.0,104
2021-11-28 - 2021-12-04,50-59,,,,,,,,<5,22.0,,,,8.0,41.0,49
2021-11-28 - 2021-12-04,60-69,,,,,,,,,16.0,<5,,,<5,42.0,23
2021-11-28 - 2021-12-04,70-79,,,,<5,,,,,8.0,,,,<5,20.0,16
2021-11-28 - 2021-12-04,80-89,,,,,,,,,<5,,,,<5,5.0,7
2021-11-28 - 2021-12-04,90+,,,,<5,,,,,<5,,,,,<5,<5
2021-12-05 - 2021-12-11,0-19,55.0,105.0,13.0,14.0,<5,<5,,24.0,99.0,,<5,,8.0,12.0,2322
2021-12-05 - 2021-12-11,20-29,<5,,,10.0,,,,<5,95.0,,,<5,29.0,41.0,128
2021-12-05 - 2021-12-11,30-39,,<5,<5,17.0,,,<5,5.0,142.0,<5,<5,,79.0,124.0,170
2021-12-05 - 2021-12-11,40-49,,,,14.0,,,,<5,102.0,,<5,<5,52.0,109.0,122
2021-12-05 - 2021-12-11,50-59,,,,<5,,,,,31.0,<5,,<5,8.0,65.0,66
2021-12-05 - 2021-12-11,60-69,,,,<5,,,,<5,18.0,,,,<5,52.0,35
2021-12-05 - 2021-12-11,70-79,,,,,,,,<5,8.0,,,,<5,28.0,9
2021-12-05 - 2021-12-11,80-89,,,,,,,,,<5,<5,<5,,,7.0,6
2021-12-05 - 2021-12-11,90+,,,,<5,,,,,<5,,,,,<5,<5
2021-12-12 - 2021-12-18,0-19,32.0,52.0,49.0,39.0,8.0,,,16.0,170.0,<5,,<5,16.0,25.0,2177
2021-12-12 - 2021-12-18,20-29,,<5,,21.0,,,,10.0,122.0,,,7.0,70.0,155.0,160
2021-12-12 - 2021-12-18,30-39,,<5,,25.0,,,<5,6.0,169.0,<5,<5,5.0,83.0,200.0,166
2021-12-12 - 2021-12-18,40-49,,,,10.0,,,<5,<5,110.0,,<5,<5,55.0,226.0,127
2021-12-12 - 2021-12-18,50-59,,,,<5,,,,<5,31.0,,,<5,14.0,153.0,61
2021-12-12 - 2021-12-18,60-69,,,,<5,,,,<5,20.0,,,,8.0,83.0,32
2021-12-12 - 2021-12-18,70-79,,,,<5,,,,<5,<5,,,<5,5.0,45.0,10
2021-12-12 - 2021-12-18,80-89,,,,<5,,,,<5,<5,,,,<5,10.0,6
2021-12-12 - 2021-12-18,90+,,,,,,,,,<5,,,,,<5,0
2021-12-19 - 2021-12-25,0-19,65.0,89.0,65.0,118.0,34.0,14.0,<5,45.0,692.0,22.0,6.0,8.0,52.0,94.0,2904
2021-12-19 - 2021-12-25,20-29,,,,44.0,,,7.0,10.0,190.0,<5,<5,15.0,190.0,419.0,275
2021-12-19 - 2021-12-25,30-39,,,,53.0,,,5.0,14.0,273.0,<5,<5,12.0,162.0,473.0,272
2021-12-19 - 2021-12-25,40-49,,,,34.0,<5,<5,6.0,7.0,181.0,<5,<5,<5,85.0,584.0,162
2021-12-19 - 2021-12-25,50-59,<5,,,9.0,<5,,<5,5.0,62.0,,,<5,30.0,400.0,96
2021-12-19 - 2021-12-25,60-69,,,<5,5.0,,,<5,<5,41.0,,,,14.0,278.0,56
2021-12-19 - 2021-12-25,70-79,,,,<5,,,,,22.0,,,,<5,147.0,22
2021-12-19 - 2021-12-25,80-89,,,,<5,,,,,<5,,,,<5,50.0,7
2021-12-19 - 2021-12-25,90+,,,,,,,,,<5,,,,,15.0,<5
